Barcode	Position	gener	Logica	Bio	chimica	Mate	Score	Ateneo
466443332139844	9219	-1.2	-1.6	23.5	2.1	0.7	23.5	esteri
456654543138754	9220	1.1	3	8.2	0.7	10.4	23.4	milano
465445442248844	9221	2.2	2.6	10.6	1	7	23.4	cagliari
444545432149744	9222	2.6	3.7	13.3	-0.9	4.7	23.4	milano
564543431258943	9223	1.5	4.1	13.6	0.1	4.1	23.4	torino
566633541259754	9224	2.2	0.3	14	5.4	1.5	23.4	esteri
564533453349843	9225	2.6	2.6	14.4	2.1	1.7	23.4	bari
665434352149855	9226	-1.2	0.3	14.4	4.4	5.5	23.4	esteri
554644531148755	9227	1.5	1.5	14.5	4.4	1.5	23.4	federico
446543353248754	9228	1.1	1.1	15.7	2.9	2.6	23.4	cagliari
100000000000003	9229	2.2	0.3	17.8	-1.7	4.8	23.4	pavia
565553531259953	9230	4.1	1.1	18.3	-0.8	0.7	23.4	cagliari
655634533339944	9231	0.7	-0.1	18.6	0.2	4	23.4	bari
644435433139845	9232	1.1	-0.8	19.7	1.3	2.1	23.4	esteri
456553453138744	9233	0	0	20.9	1.4	1.1	23.4	lvanvitelli
654533341358953	9234	0	0	21.2	1.1	1.1	23.4	esteri
645633441148955	9235	2.6	4.5	11.1	1.1	4	23.3	Marche
654445533248955	9236	6	4.1	11.7	-0.2	1.7	23.3	torino
556433541349744	9237	-0.4	1.1	11.9	2.5	8.2	23.3	esteri
646444333139753	9238	2.6	-0.1	12.5	4.3	4	23.3	esteri
444443331249955	9239	1.5	2.2	14.4	2.6	2.6	23.3	esteri
666455443359844	9240	0.7	1.8	14.9	2.6	3.3	23.3	esteri
654555533139953	9241	4.5	0.3	16.3	0.5	1.7	23.3	sapienza
446445432148745	9242	-0.8	-2	17.1	2.4	6.6	23.3	esteri
566544441349955	9243	0	0	17.1	2.9	3.3	23.3	esteri
564454443239843	9244	0.3	-2	17.4	3.5	4.1	23.3	esteri
455545351338745	9245	-0.8	1.8	17.8	-0.2	4.7	23.3	esteri
545635341359953	9246	-0.4	1.5	17.8	2.2	2.2	23.3	esteri
554434443148945	9247	1.1	2.6	17.9	-1.6	3.3	23.3	messina
665633543138855	9248	6	0.3	18.2	-0.2	-1	23.3	parma
